feature,importance
unused_js,0.16695225
unused_code_ratio,0.101387516
device,0.08459219
lcp,0.08091001
unused_css,0.04533972
has_video,0.045250535
total_bytes,0.03987497
category,0.029365698
fcp,0.028966457
tbt,0.027083697
css_ratio,0.02597537
page_type,0.025308246
js_bytes,0.02530493
video_bytes,0.024389647
script_count,0.02322637
third_party_ratio,0.023015194
cls,0.022384828
request_count,0.02190561
css_bytes,0.021014346
font_bytes,0.020997185
media_ratio,0.020539919
third_party_requests,0.019748913
image_ratio,0.019493429
image_bytes,0.01929953
image_count,0.01929542
js_ratio,0.01837794
